rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
48,"spotify:track:19mjCzLuMHZ0Tyn3eI85bo","Yuuri","シャッター","Sony Music Labels Inc.",9,48,525,"98085"
49,"spotify:track:1g6Elo93E6SecrU4iVJXpA","Yuuri","クリスマスイブ","Sony Music Labels Inc.",49,53,15,"98051"
50,"spotify:track:6O4twzzHHIM6mmTqPpJNYE","Mrs. GREEN APPLE","Soranji","Universal Music LLC",50,50,57,"93702"
51,"spotify:track:0kqTXMHiQiB7IECD0WwcPq","TWICE","Talk that Talk","WM Japan",13,49,110,"93424"
52,"spotify:track:0zfNtgPJ5FLkbveRjSdCMb","Kyanai","バニラ","ENS Entertainment",13,51,241,"84756"
53,"spotify:track:495GBEvMX06OrwhCCZ7H0y","8LOOM","Melody","Virgin Music Label And Artist Services (S&D)",51,54,35,"82080"
54,"spotify:track:0PvuVoqa1IHCnTrNnltS70","Utada Hikaru","First Love - 2022 Mix","Universal Music LLC",54,67,5,"73350"
55,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",1,55,1003,"69844"
56,"spotify:track:0v3iUTe5rskRsxbUhboRlT","Saucy Dog","いつか","MASH A&R",51,56,943,"68894"
57,"spotify:track:15HNdxGKNCIO9pgaY4n7FU","Official HIGE DANdism","Pretender","ポニーキャニオン",1,60,1337,"66578"
58,"spotify:track:7v8wKvNQQIxkugCFFjrkaO","Aimer","残響散歌","Sony Music Labels Inc.",1,57,374,"66353"
59,"spotify:track:34PR0zLBVl7VMF9E7dDwdo","King Gnu","雨燦々","Sony Music Labels Inc.",8,52,153,"65554"
60,"spotify:track:30qO2rZlw1ZTLWOpCGuuGI","Vaundy","置き手紙","SDR Inc.",52,62,16,"65297"
61,"spotify:track:5Odq8ohlgIbQKMZivbWkEo","Charlie Puth & Jung Kook & BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",12,59,173,"65236"
62,"spotify:track:4FMz2RFrbDGzJO7K4D0vS3","back number","HAPPY BIRTHDAY","Universal Music LLC",54,64,794,"65070"
63,"spotify:track:5wWLNNwMAehpj83FU4Lz0m","Official HIGE DANdism","I LOVE...","IRORI Records",1,63,1065,"63766"
64,"spotify:track:5Anr2wqdL182BsI02iCbcd","Saucy Dog","結","A-Sketch",52,61,399,"63167"
65,"spotify:track:6jjYDGxVJsWS0a5wlVF5vS","BTS","Butter","BIGHIT MUSIC",1,68,570,"61901"
